              coef.base_model.      X2.5..    X97.5..
RIDRETH33:DMDMARTL2              0.332811583  -1.318304595  1.983927762
RIDRETH34:DMDMARTL2             -0.546675770  -2.956474975  1.863123434
RIDRETH36:DMDMARTL2              0.175112763  -2.071238469  2.421463995
RIDRETH37:DMDMARTL2             -0.835996349  -5.386766976  3.714774277
RIDRETH32:DMDMARTL3             -0.888727493  -1.962296871  0.184841885
RIDRETH33:DMDMARTL3             -0.704700072  -1.866346108  0.456945964
RIDRETH34:DMDMARTL3             -0.811179932  -1.974408568  0.352048705
RIDRETH36:DMDMARTL3             -0.340202164  -1.458522830  0.778118503
RIDRETH37:DMDMARTL3             -1.084529338  -2.864113787  0.695055111
RIDRETH32:DMDMARTL4             -0.506206120  -2.165855268  1.153443029
RIDRETH33:DMDMARTL4             -1.077959430  -2.942183919  0.786265060
RIDRETH34:DMDMARTL4             -2.316306899  -4.942067637  0.309453839
RIDRETH36:DMDMARTL4             -2.506556426  -6.340409908  1.327297055
RIDRETH37:DMDMARTL4             -2.989456129  -5.568419871 -0.410492387
RIDRETH32:DMDMARTL5             -0.614116604  -1.760233457  0.532000248
RIDRETH33:DMDMARTL5             -0.284442030  -1.124364492  0.555480432
RIDRETH34:DMDMARTL5             -0.714729529  -2.149774227  0.720315169
RIDRETH36:DMDMARTL5             -0.858959753  -2.282773599  0.564854093
RIDRETH37:DMDMARTL5             -1.820583311  -4.059653898  0.418487277
RIDRETH32:DMDMARTL6             -0.563103762  -1.891009490  0.764801966
RIDRETH33:DMDMARTL6             -0.530251623  -1.376236139  0.315732892
RIDRETH34:DMDMARTL6             -0.996164287  -2.411798880  0.419470305
RIDRETH36:DMDMARTL6             -0.393301302  -2.074234171  1.287631567
RIDRETH37:DMDMARTL6             -2.059715071  -4.536258939  0.416828797
RIDRETH32:age_cluster2           0.641527994  -0.217013991  1.500069979
RIDRETH33:age_cluster2           0.114345757  -0.514476674  0.743168188
RIDRETH34:age_cluster2           0.403109657  -0.306168072  1.112387386
RIDRETH36:age_cluster2           0.128731259  -0.736009736  0.993472255
RIDRETH37:age_cluster2          -0.291080475  -1.486574325  0.904413374
RIDRETH32:age_cluster3           0.055716018  -1.594331266  1.705763303
RIDRETH33:age_cluster3          -0.793168765  -1.846808879  0.260471350
RIDRETH34:age_cluster3           0.072633068  -0.946444693  1.091710829
RIDRETH36:age_cluster3          -0.317495554  -1.497123827  0.862132718
RIDRETH37:age_cluster3          -0.226644500  -1.878644736  1.425355736
RIDRETH32:FIPR_cluster2         -1.411999118  -2.227454795 -0.596543441
RIDRETH33:FIPR_cluster2         -0.986784838  -2.083478277  0.109908601
RIDRETH34:FIPR_cluster2         -1.399672595  -2.516586613 -0.282758576
RIDRETH36:FIPR_cluster2          0.526694778  -0.639037098  1.692426654
RIDRETH37:FIPR_cluster2         -0.658714462  -2.836704716  1.519275793
RIDRETH32:FIPR_cluster3         -1.478121068  -2.006815493 -0.949426644
RIDRETH33:FIPR_cluster3         -1.178867408  -1.961969314 -0.395765501
RIDRETH34:FIPR_cluster3         -1.844355842  -2.561078236 -1.127633447
RIDRETH36:FIPR_cluster3         -0.268046189  -1.067162748  0.531070371
RIDRETH37:FIPR_cluster3         -2.004829649  -4.235916562  0.226257264
RIDRETH32:BMI_category1         16.212689097   7.650487518 24.774890677
RIDRETH33:BMI_category1         29.098243002   4.419149069 53.777336934
RIDRETH34:BMI_category1         27.697198628  -0.302644032 55.697041288
RIDRETH36:BMI_category1         30.167639926   1.891560152 58.443719701
RIDRETH37:BMI_category1         -4.870461353 -25.641707233 15.900784526
RIDRETH32:BMI_category2         -0.433926665  -1.727140361  0.859287030
RIDRETH33:BMI_category2         -0.008895832  -1.128152036  1.110360372
