"SEQN","SDDSRVYR","RIDSTATR","WTINT2YR","WTMEC2YR","SDMVPSU","SDMVSTRA","RIAGENDR","RIDAGEYR","RIDRETH3","DMDEDUC2","DMDMARTL","INDFMPIR","age_cluster","FIPR_cluster"
85867,9,2,9079.976363,9332.05108,2,119,2,55,2,3,1,3.6,2,3
85869,9,2,35276.178993,35740.037288,2,124,2,23,2,4,5,1.6,1,2
85870,9,2,9436.399232,11553.434416,1,128,1,66,1,2,1,1.02,3,1
85875,9,2,63287.46889,67010.414274,2,128,1,71,3,5,5,5,3,3
85876,9,2,162449.968509,167381.483121,2,127,1,48,3,4,1,5,2,3
85878,9,2,112430.263722,113777.723065,2,130,2,27,3,5,1,5,1,3
85879,9,2,6552.179589,6362.433886,1,124,2,66,2,1,4,2.3,3,2
85880,9,2,18580.054143,19219.913378,2,131,2,52,4,5,4,2.41,2,2
85885,9,2,48027.998098,48365.58467,2,125,2,53,3,5,5,2.53,2,2
85886,9,2,44382.862338,43585.693954,2,119,2,22,2,5,5,1.26,1,1
85887,9,2,18694.813035,18674.705424,1,119,2,80,7,4,3,0.92,3,1
85893,9,2,8356.5333,8114.535005,2,129,2,61,2,5,1,5,2,3
85896,9,2,34719.330075,34966.345266,1,125,1,60,3,4,3,0.8,2,1
85898,9,2,15972.217002,20027.746633,1,133,1,47,4,3,4,0.63,2,1
85899,9,2,21950.160777,22076.993373,2,119,1,70,3,5,5,1.09,3,1
85900,9,2,8012.500733,9810.087456,1,122,1,65,2,1,1,1.79,3,2
85902,9,2,89116.952891,96614.100939,2,120,1,56,3,4,1,4.6,2,3
85903,9,2,12358.665951,12949.033714,2,125,1,49,6,4,1,0.91,2,1
85904,9,2,11554.934501,15556.734531,2,133,1,66,4,4,1,1.09,3,1
85905,9,2,29416.089585,30579.673095,2,133,1,35,1,2,6,2.69,1,2
85908,9,2,15436.319569,15469.462184,1,119,2,51,4,2,2,0.37,2,1
85911,9,2,20173.612826,21371.78771,2,131,2,49,4,3,3,2.16,2,2
85912,9,2,23451.53979,23501.891518,1,125,2,49,4,3,6,0.75,2,1
85914,9,2,9429.842529,9675.863403,1,130,2,62,1,4,1,1.15,2,1
85915,9,2,28666.262651,28720.785791,2,121,2,34,4,3,6,2.67,1,2
85917,9,2,20434.774043,24237.209974,2,119,2,31,6,5,5,5,1,3
85918,9,2,17564.337008,19417.92575,2,121,1,66,6,2,3,3.7,3,3
85920,9,2,123386.012078,123255.166856,1,130,2,61,3,5,1,4.38,2,3
85922,9,2,24831.294224,24609.690858,1,120,1,47,1,2,1,1.65,2,2
85925,9,2,26975.934927,26870.512788,1,132,2,65,4,5,3,2.51,3,2
85928,9,2,152384.244586,150934.937037,2,123,1,66,3,4,1,4.37,3,3
85930,9,2,8459.442396,9240.465685,2,125,1,75,2,3,1,3.5,3,3
85931,9,2,32537.258309,34007.366238,2,132,2,80,3,3,1,1.11,3,1
85932,9,1,21437.314995,0,1,124,2,49,2,5,1,3.48,2,2
85935,9,2,21996.582405,21777.448494,1,125,2,68,4,2,1,2.82,3,2
85936,9,2,21898.850823,22940.450927,1,127,2,27,2,4,5,2.52,1,2
85939,9,2,28944.780263,30891.477127,1,133,1,20,1,4,5,0.95,1,1
85941,9,2,54496.244542,56418.293334,2,124,2,75,7,3,2,2.68,3,2
85942,9,2,31468.624486,31129.891973,1,130,2,46,3,5,1,1.76,2,2
85943,9,2,35707.532544,36812.312604,2,121,1,33,3,5,6,1.52,1,2
85944,9,2,31689.353179,31687.554073,1,123,1,25,4,4,5,3.52,1,3
85946,9,2,41535.370147,42951.942969,1,120,1,49,1,4,3,3.77,2,3
85947,9,2,39416.869422,42067.872311,1,130,1,22,2,2,5,2.25,1,2
85948,9,2,35985.542576,40284.539905,2,123,2,38,4,4,3,0.16,1,1
85949,9,2,10255.968393,9985.161752,1,124,2,64,2,1,1,2.51,2,2
85951,9,2,38664.730952,43018.902365,2,122,1,25,1,3,5,1.76,1,2
85952,9,2,13867.861236,14362.748712,2,133,2,50,6,2,1,1.59,2,2
85955,9,2,133345.849873,143035.685013,1,126,1,23,3,4,5,1.95,1,2
85958,9,2,39813.333635,42651.297913,1,122,2,32,3,4,1,0.88,1,1
85960,9,2,113075.13629,118790.347091,1,132,2,59,3,4,4,2.46,2,2
85961,9,2,15831.647291,16271.159229,2,132,2,52,1,1,1,1.2,2,1
85962,9,2,154916.386681,153442.996244,2,120,1,65,3,5,1,5,3,3
85963,9,2,34704.51572,34394.800188,1,128,1,46,1,1,1,1.3,2,2
85964,9,2,214141.241335,222047.842777,2,127,2,50,3,4,1,5,2,3
85966,9,2,19517.623673,20719.403639,2,121,2,39,6,5,1,5,1,3
85967,9,2,134440.549755,137236.245382,2,121,1,32,3,5,5,1.81,1,2
85970,9,2,12896.505295,12815.484644,2,123,1,64,4,5,1,3.16,2,2
